i,j,k,sidx,da0f878c-c524-622b-50a5-a1f39b6c2075,12b66d3d-838e-2ffe-fd52-9d5144e33e5e,e3f3cfcf-5bc4-f7c9-5364-72151d2f9d70
0,0,0,95,11.43265698,Sandstone,FALSE
0,0,0,97,7.190073427,Greywacke,FALSE
0,0,0,98,10.87963716,Sandstone,FALSE
0,0,0,100,12.1209798,Sandstone,FALSE
0,0,0,101,10.69312975,Sandstone,FALSE
0,0,0,103,9.53933264,Greywacke,FALSE
0,0,0,104,5.662814472,Greywacke,FALSE
0,0,1,3,9.485563453,Greywacke,FALSE
0,0,1,4,6.658523411,Greywacke,FALSE
0,0,1,6,5.402998937,Greywacke,FALSE
0,0,1,7,7.645424359,Greywacke,FALSE
0,0,1,9,11.48836344,Sandstone,FALSE
0,0,1,10,7.131492928,Greywacke,FALSE
0,0,1,12,10.27034912,Sandstone,FALSE
0,0,1,13,9.990496358,Greywacke,FALSE
0,0,1,16,7.778822742,Greywacke,FALSE
0,0,1,17,5.616867171,Greywacke,FALSE
0,0,1,19,7.283120004,Greywacke,FALSE
0,0,1,20,5.011581688,Greywacke,FALSE
0,0,1,22,5.903287969,Greywacke,FALSE
0,0,1,23,6.133390222,Greywacke,FALSE
0,0,1,25,5.425358676,Greywacke,FALSE
0,0,1,26,10.82078608,Sandstone,FALSE
0,0,1,29,6.324558845,Greywacke,FALSE
0,0,1,30,7.612993628,Greywacke,FALSE
0,0,1,32,5.700155472,Greywacke,FALSE
0,0,1,33,8.060486001,Greywacke,FALSE
0,0,1,35,7.462627989,Greywacke,FALSE
0,0,1,36,10.50441963,Sandstone,FALSE
0,0,1,38,10.1533856,Sandstone,FALSE
0,0,1,39,9.19766548,Greywacke,FALSE
0,0,1,42,11.18840242,Sandstone,FALSE
0,0,1,43,5.956205528,Greywacke,FALSE
0,0,1,45,9.245701026,Greywacke,FALSE
0,0,1,46,10.73839414,Sandstone,FALSE
0,0,1,48,8.133737786,Greywacke,FALSE
0,0,1,49,10.57781174,Sandstone,FALSE
0,0,1,51,5.817564075,Greywacke,FALSE
0,0,1,52,6.270595411,Greywacke,FALSE
0,0,1,55,7.443903868,Greywacke,FALSE
0,0,1,56,5.555099741,Greywacke,FALSE
0,0,1,58,8.615196186,Greywacke,FALSE
0,0,1,59,5.113397765,Greywacke,FALSE
0,0,1,61,6.549953106,Greywacke,FALSE
0,0,1,62,11.39314908,Sandstone,FALSE
0,0,1,64,6.622435293,Greywacke,FALSE
0,0,1,65,10.17501491,Sandstone,FALSE
0,0,1,68,8.482444998,Greywacke,FALSE
0,0,1,69,10.49984111,Sandstone,FALSE
0,0,1,71,11.48157524,Sandstone,FALSE
0,0,1,72,9.436902243,Greywacke,FALSE
0,0,1,74,8.717169782,Greywacke,FALSE
0,0,1,75,10.46247268,Sandstone,FALSE
0,0,1,77,10.08299038,Sandstone,FALSE
0,0,1,78,6.272717612,Greywacke,FALSE
0,0,1,81,5.05497836,Greywacke,FALSE
0,0,1,82,5.553640833,Greywacke,FALSE
0,0,1,84,10.81002435,Sandstone,FALSE
0,0,1,85,10.16063806,Sandstone,FALSE
0,0,1,87,9.780650947,Greywacke,FALSE
0,0,1,88,7.352072039,Greywacke,FALSE
0,0,1,90,7.280969291,Greywacke,FALSE
0,0,1,91,5.026100787,Greywacke,FALSE
0,0,1,94,10.78179836,Sandstone,FALSE
0,0,1,95,6.605244584,Greywacke,FALSE
0,0,1,97,6.173540881,Greywacke,FALSE
0,0,1,98,11.2601048,Sandstone,FALSE
0,0,1,100,11.46525647,Sandstone,FALSE
0,0,1,101,9.841545748,Greywacke,FALSE
0,0,1,103,10.1354274,Sandstone,FALSE
0,0,1,104,7.360143616,Greywacke,FALSE
0,0,2,3,6.269910423,Greywacke,FALSE
0,0,2,4,9.61615928,Greywacke,FALSE
0,0,2,6,9.76371318,Greywacke,FALSE
0,0,2,7,4.65839563,Basement,FALSE
0,0,2,9,9.754794666,Greywacke,FALSE
0,0,2,10,7.682038661,Greywacke,FALSE
0,0,2,12,7.674500558,Greywacke,FALSE
0,0,2,13,8.803541578,Greywacke,FALSE
0,0,2,16,9.362272036,Greywacke,FALSE
0,0,2,17,8.698681345,Greywacke,FALSE
0,0,2,19,5.821752623,Greywacke,FALSE
0,0,2,20,8.644445165,Greywacke,FALSE
0,0,2,22,7.867624686,Greywacke,FALSE
0,0,2,23,9.225522846,Greywacke,FALSE
0,0,2,25,7.381229378,Greywacke,FALSE
0,0,2,26,4.923383231,Basement,FALSE
0,0,2,29,8.517535063,Greywacke,FALSE
0,0,2,30,6.515490051,Greywacke,FALSE
0,0,2,32,6.729541282,Greywacke,FALSE
0,0,2,33,4.723905963,Basement,FALSE
0,0,2,35,8.555879952,Greywacke,FALSE
0,0,2,36,5.154328607,Greywacke,FALSE
0,0,2,38,6.847686398,Greywacke,FALSE
0,0,2,39,6.018150695,Greywacke,FALSE
0,0,2,42,7.323467572,Greywacke,FALSE
0,0,2,43,4.547899251,Basement,FALSE
0,0,2,45,8.236563292,Greywacke,FALSE
0,0,2,46,7.618787528,Greywacke,FALSE
0,0,2,48,7.320824104,Greywacke,FALSE
0,0,2,49,5.375196105,Greywacke,FALSE
0,0,2,51,7.957822683,Greywacke,FALSE
0,0,2,52,9.204617862,Greywacke,FALSE
0,0,2,55,8.429085612,Greywacke,FALSE
0,0,2,56,5.072813197,Greywacke,FALSE
0,0,2,58,9.311343435,Greywacke,FALSE
0,0,2,59,4.408452217,Basement,FALSE
0,0,2,61,4.565554723,Basement,FALSE
0,0,2,62,6.95043208,Greywacke,FALSE
0,0,2,64,6.895034916,Greywacke,FALSE
0,0,2,65,7.11259021,Greywacke,FALSE
0,0,2,68,7.389456539,Greywacke,FALSE
0,0,2,69,8.656248719,Greywacke,FALSE
0,0,2,71,8.247956516,Greywacke,FALSE
0,0,2,72,5.918356439,Greywacke,FALSE
0,0,2,74,8.558527065,Greywacke,FALSE
0,0,2,75,7.604226951,Greywacke,FALSE
0,0,2,77,10.02252412,Sandstone,FALSE
0,0,2,78,10.14226295,Sandstone,FALSE
0,0,2,81,6.609380339,Greywacke,FALSE
0,0,2,82,7.419177623,Greywacke,FALSE
0,0,2,84,7.635619421,Greywacke,FALSE
0,0,2,85,4.734314988,Basement,FALSE
0,0,2,87,5.415406197,Greywacke,FALSE
0,0,2,88,8.131346044,Greywacke,FALSE
0,0,2,90,7.877976529,Greywacke,FALSE
0,0,2,91,5.612675149,Greywacke,FALSE
0,0,2,94,9.306550239,Greywacke,FALSE
0,0,2,95,7.465513662,Greywacke,FALSE
0,0,2,97,8.608984616,Greywacke,FALSE
0,0,2,98,4.938597797,Basement,FALSE
0,0,2,100,9.361422653,Greywacke,FALSE
0,0,2,101,6.345339144,Greywacke,FALSE
0,0,2,103,5.910752007,Greywacke,FALSE
0,0,2,104,5.330460368,Greywacke,FALSE
0,0,3,3,20.05776315,Quaternary,TRUE
0,0,3,4,13.92252915,Sandstone,FALSE
0,0,3,6,22.57195556,Quaternary,TRUE
0,0,3,7,15.08059814,Quartz,FALSE
0,0,3,9,22.33598607,Quaternary,TRUE
0,0,3,10,18.46808988,Quaternary,TRUE
0,0,3,12,12.59913873,Sandstone,FALSE
0,0,3,13,19.18754928,Quaternary,TRUE
0,0,3,16,14.73172153,Sandstone,FALSE
0,0,3,17,15.04796495,Quartz,FALSE
0,0,3,19,22.89243576,Quaternary,TRUE
0,0,3,20,14.38168488,Sandstone,FALSE
0,0,3,22,21.00017756,Quaternary,TRUE
0,0,3,23,22.14316381,Quaternary,TRUE
0,0,3,25,22.31246835,Quaternary,TRUE
0,0,3,26,14.35376857,Sandstone,FALSE
0,0,3,29,21.26544329,Quaternary,TRUE
0,0,3,30,21.81827941,Quaternary,TRUE
0,0,3,32,16.74562524,Quartz,TRUE
0,0,3,33,21.93858433,Quaternary,TRUE
0,0,3,35,22.26036177,Quaternary,TRUE
0,0,3,36,11.18704331,Sandstone,FALSE
0,0,3,38,16.87998162,Quartz,TRUE
0,0,3,39,15.39358751,Quartz,FALSE
0,0,3,42,17.28017607,Quartz,TRUE
0,0,3,43,19.44169122,Quaternary,TRUE
0,0,3,45,10.34305749,Sandstone,FALSE
0,0,3,46,20.83249433,Quaternary,TRUE
0,0,3,48,11.89241494,Sandstone,FALSE
0,0,3,49,12.00561559,Sandstone,FALSE
0,0,3,51,15.86542194,Quartz,FALSE
0,0,3,52,12.35662579,Sandstone,FALSE
0,0,3,55,19.48822163,Quaternary,TRUE
0,0,3,56,9.88498847,Greywacke,FALSE
0,0,3,58,14.29848097,Sandstone,FALSE
0,0,3,59,13.84524563,Sandstone,FALSE
0,0,3,61,20.6992178,Quaternary,TRUE
0,0,3,62,13.93332285,Sandstone,FALSE
0,0,3,64,21.54646591,Quaternary,TRUE
0,0,3,65,15.16383792,Quartz,FALSE
0,0,3,68,21.88978715,Quaternary,TRUE
0,0,3,69,16.1721986,Quartz,TRUE
0,0,3,71,13.85580564,Sandstone,FALSE
0,0,3,72,22.24438323,Quaternary,TRUE
0,0,3,74,18.73288914,Quaternary,TRUE
0,0,3,75,18.24365999,Quaternary,TRUE
0,0,3,77,21.25211192,Quaternary,TRUE
0,0,3,78,16.45862315,Quartz,TRUE
0,0,3,81,16.74383521,Quartz,TRUE
0,0,3,82,18.97559097,Quaternary,TRUE
0,0,3,84,10.3229854,Sandstone,FALSE
0,0,3,85,10.81580326,Sandstone,FALSE
0,0,3,87,20.41104301,Quaternary,TRUE
0,0,3,88,11.95942048,Sandstone,FALSE
0,0,3,90,11.18310038,Sandstone,FALSE
0,0,3,91,16.59953371,Quartz,TRUE
0,0,3,94,21.90906263,Quaternary,TRUE
0,0,3,95,16.16713685,Quartz,TRUE
0,0,3,97,9.957469099,Greywacke,FALSE
0,0,3,98,17.97015909,Quartz,TRUE
0,0,3,100,15.40063196,Quartz,FALSE
0,0,3,101,14.15347602,Sandstone,FALSE
0,0,3,103,20.19931572,Quaternary,TRUE
0,0,3,104,11.34810133,Sandstone,FALSE
0,1,0,3,19.18026847,Quaternary,TRUE
0,1,0,4,16.89555316,Quartz,TRUE
0,1,0,6,16.11366795,Quartz,TRUE
0,1,0,7,10.00521074,Sandstone,FALSE
0,1,0,9,16.08686251,Quartz,TRUE
0,1,0,10,21.13092249,Quaternary,TRUE
0,1,0,12,13.53710016,Sandstone,FALSE
0,1,0,13,9.479604594,Greywacke,FALSE
0,1,0,16,15.26149065,Quartz,FALSE
0,1,0,17,16.78416108,Quartz,TRUE
0,1,0,19,10.81677762,Sandstone,FALSE
0,1,0,20,16.95757476,Quartz,TRUE
0,1,0,22,21.16156156,Quaternary,TRUE
0,1,0,23,14.5704292,Sandstone,FALSE
0,1,0,25,11.06446758,Sandstone,FALSE
0,1,0,26,9.858341211,Greywacke,FALSE
0,1,0,29,14.59180097,Sandstone,FALSE
0,1,0,30,14.87535827,Sandstone,FALSE
0,1,0,32,12.41295438,Sandstone,FALSE
0,1,0,33,9.791617943,Greywacke,FALSE
0,1,0,35,13.70904523,Sandstone,FALSE
0,1,0,36,16.09165448,Quartz,TRUE
0,1,0,38,14.35418033,Sandstone,FALSE
0,1,0,39,9.752764436,Greywacke,FALSE
0,1,0,42,21.13193497,Quaternary,TRUE
0,1,0,43,11.19074717,Sandstone,FALSE
0,1,0,45,11.96622778,Sandstone,FALSE
0,1,0,46,14.201165,Sandstone,FALSE
0,1,0,48,14.30148326,Sandstone,FALSE
0,1,0,49,13.71149541,Sandstone,FALSE
0,1,0,51,11.55430286,Sandstone,FALSE
0,1,0,52,11.14813032,Sandstone,FALSE
0,1,0,55,14.11504616,Sandstone,FALSE
0,1,0,56,10.43986753,Sandstone,FALSE
0,1,0,58,20.08496953,Quaternary,TRUE
0,1,0,59,18.09533268,Quaternary,TRUE
0,1,0,61,10.23937274,Sandstone,FALSE
0,1,0,62,20.93866062,Quaternary,TRUE
0,1,0,64,10.08761393,Sandstone,FALSE
0,1,0,65,20.84877486,Quaternary,TRUE
0,1,0,68,10.42683078,Sandstone,FALSE
0,1,0,69,13.17772764,Sandstone,FALSE
0,1,0,71,14.61091534,Sandstone,FALSE
0,1,0,72,12.02672473,Sandstone,FALSE
0,1,0,74,14.61177498,Sandstone,FALSE
0,1,0,75,15.97434433,Quartz,FALSE
0,1,0,77,14.9497522,Sandstone,FALSE
0,1,0,78,19.22419181,Quaternary,TRUE
0,1,0,81,14.71492982,Sandstone,FALSE
0,1,0,82,12.71059077,Sandstone,FALSE
0,1,0,84,20.89386377,Quaternary,TRUE
0,1,0,85,13.5018259,Sandstone,FALSE
0,1,0,87,10.71285775,Sandstone,FALSE
0,1,0,88,14.5259241,Sandstone,FALSE
0,1,0,90,11.77772873,Sandstone,FALSE
0,1,0,91,13.33738624,Sandstone,FALSE
0,1,0,94,11.85289361,Sandstone,FALSE
0,1,0,95,9.283286021,Greywacke,FALSE
0,1,0,97,19.92420781,Quaternary,TRUE
0,1,0,98,19.45590504,Quaternary,TRUE
0,1,0,100,19.64151696,Quaternary,TRUE
0,1,0,101,19.9160747,Quaternary,TRUE
0,1,0,103,18.57339565,Quaternary,TRUE
0,1,0,104,19.98917952,Quaternary,TRUE
0,1,1,3,3.619895002,Basement,FALSE
0,1,1,4,8.318335561,Greywacke,FALSE
0,1,1,6,7.098500205,Greywacke,FALSE
0,1,1,7,3.589815993,Basement,FALSE
0,1,1,9,7.657082483,Greywacke,FALSE
0,1,1,10,5.407348084,Greywacke,FALSE
0,1,1,12,5.819928532,Greywacke,FALSE
0,1,1,13,4.126837309,Basement,FALSE
0,1,1,16,7.421879623,Greywacke,FALSE
0,1,1,17,6.906885968,Greywacke,FALSE
0,1,1,19,7.261972222,Greywacke,FALSE
0,1,1,20,4.990384778,Basement,FALSE
0,1,1,22,4.411251385,Basement,FALSE
0,1,1,23,6.351618305,Greywacke,FALSE
0,1,1,25,6.357815803,Greywacke,FALSE
0,1,1,26,5.724618178,Greywacke,FALSE
0,1,1,29,6.826495218,Greywacke,FALSE
0,1,1,30,5.632172595,Greywacke,FALSE
0,1,1,32,4.737374223,Basement,FALSE
0,1,1,33,5.042993308,Greywacke,FALSE
0,1,1,35,8.069747624,Greywacke,FALSE
0,1,1,36,4.610139594,Basement,FALSE
0,1,1,38,6.768613205,Greywacke,FALSE
0,1,1,39,4.727937908,Basement,FALSE
0,1,1,42,3.694518782,Basement,FALSE
0,1,1,43,6.675984367,Greywacke,FALSE
0,1,1,45,3.91041562,Basement,FALSE
0,1,1,46,8.272131582,Greywacke,FALSE
0,1,1,48,5.964737977,Greywacke,FALSE
0,1,1,49,6.975851375,Greywacke,FALSE
0,1,1,51,5.009367291,Greywacke,FALSE
0,1,1,52,3.769280704,Basement,FALSE
0,1,1,55,5.489245505,Greywacke,FALSE
0,1,1,56,7.759487852,Greywacke,FALSE
0,1,1,58,8.340602746,Greywacke,FALSE
0,1,1,59,7.905681401,Greywacke,FALSE
0,1,1,61,6.826415055,Greywacke,FALSE
0,1,1,62,8.267427677,Greywacke,FALSE
0,1,1,64,8.345381957,Greywacke,FALSE
0,1,1,65,3.639922012,Basement,FALSE
0,1,1,68,5.735999208,Greywacke,FALSE
0,1,1,69,5.353369547,Greywacke,FALSE
0,1,1,71,4.262171356,Basement,FALSE
0,1,1,72,6.519502118,Greywacke,FALSE
0,1,1,74,6.492386908,Greywacke,FALSE
0,1,1,75,5.635901646,Greywacke,FALSE
0,1,1,77,6.749793437,Greywacke,FALSE
0,1,1,78,3.580197627,Basement,FALSE
0,1,1,81,4.931664642,Basement,FALSE
0,1,1,82,8.225224365,Greywacke,FALSE
0,1,1,84,8.125647348,Greywacke,FALSE
0,1,1,85,7.775210624,Greywacke,FALSE
0,1,1,87,6.020232906,Greywacke,FALSE
0,1,1,88,3.803226557,Basement,FALSE
0,1,1,90,6.390063214,Greywacke,FALSE
0,1,1,91,5.342458578,Greywacke,FALSE
0,1,1,94,6.400273363,Greywacke,FALSE
0,1,1,95,8.340094977,Greywacke,FALSE
0,1,1,97,4.844871021,Basement,FALSE
0,1,1,98,5.324507971,Greywacke,FALSE
0,1,1,100,5.232254861,Greywacke,FALSE
0,1,1,101,7.813462116,Greywacke,FALSE
0,1,1,103,5.88865476,Greywacke,FALSE
0,1,1,104,6.064723087,Greywacke,FALSE
0,1,2,3,7.162895776,Greywacke,FALSE
0,1,2,4,5.78205047,Greywacke,FALSE
0,1,2,6,6.101781759,Greywacke,FALSE
0,1,2,7,7.732384331,Greywacke,FALSE
0,1,2,9,7.774587115,Greywacke,FALSE
0,1,2,10,7.730104718,Greywacke,FALSE
0,1,2,12,8.641462237,Greywacke,FALSE
0,1,2,13,6.873058467,Greywacke,FALSE
0,1,2,16,8.616619872,Greywacke,FALSE
0,1,2,17,4.266902759,Basement,FALSE
0,1,2,19,4.300625666,Basement,FALSE
0,1,2,20,6.698800604,Greywacke,FALSE
0,1,2,22,8.108653921,Greywacke,FALSE
0,1,2,23,8.924920952,Greywacke,FALSE
0,1,2,25,4.903752548,Basement,FALSE
0,1,2,26,8.526442717,Greywacke,FALSE
0,1,2,29,7.630399541,Greywacke,FALSE
0,1,2,30,7.558044192,Greywacke,FALSE
0,1,2,32,5.918685671,Greywacke,FALSE
0,1,2,33,4.191078756,Basement,FALSE
0,1,2,35,8.098962269,Greywacke,FALSE
0,1,2,36,4.163913536,Basement,FALSE
0,1,2,38,8.386087429,Greywacke,FALSE
0,1,2,39,5.343886483,Greywacke,FALSE
0,1,2,42,5.239316918,Greywacke,FALSE
0,1,2,43,6.867215284,Greywacke,FALSE
0,1,2,45,8.047466349,Greywacke,FALSE
0,1,2,46,9.104338857,Greywacke,FALSE
0,1,2,48,4.537352095,Basement,FALSE
0,1,2,49,6.207056874,Greywacke,FALSE
0,1,2,51,7.91232092,Greywacke,FALSE
0,1,2,52,5.49929841,Greywacke,FALSE
0,1,2,55,4.069734978,Basement,FALSE
0,1,2,56,8.118122089,Greywacke,FALSE
0,1,2,58,5.486160914,Greywacke,FALSE
0,1,2,59,4.866086341,Basement,FALSE
0,1,2,61,4.77449798,Basement,FALSE
0,1,2,62,4.833922897,Basement,FALSE
0,1,2,64,8.424092347,Greywacke,FALSE
0,1,2,65,7.187150022,Greywacke,FALSE
0,1,2,68,8.169767619,Greywacke,FALSE
0,1,2,69,7.104111218,Greywacke,FALSE
0,1,2,71,5.414274467,Greywacke,FALSE
0,1,2,72,8.54531998,Greywacke,FALSE
0,1,2,74,6.335533553,Greywacke,FALSE
0,1,2,75,8.379108598,Greywacke,FALSE
0,1,2,77,8.239422619,Greywacke,FALSE
0,1,2,78,7.154668452,Greywacke,FALSE
0,1,2,81,5.762212674,Greywacke,FALSE
0,1,2,82,5.890212842,Greywacke,FALSE
0,1,2,84,8.845218533,Greywacke,FALSE
0,1,2,85,5.031132984,Greywacke,FALSE
0,1,2,87,4.180510693,Basement,FALSE
0,1,2,88,7.851341404,Greywacke,FALSE
0,1,2,90,6.573680014,Greywacke,FALSE
0,1,2,91,5.529257502,Greywacke,FALSE
0,1,2,94,8.772424855,Greywacke,FALSE
0,1,2,95,4.089255008,Basement,FALSE
0,1,2,97,7.268105175,Greywacke,FALSE
0,1,2,98,7.959109001,Greywacke,FALSE
0,1,2,100,4.018355376,Basement,FALSE
0,1,2,101,6.285933756,Greywacke,FALSE
0,1,2,103,4.223524357,Basement,FALSE
0,1,2,104,9.0998587,Greywacke,FALSE
0,1,3,3,13.66548819,Sandstone,FALSE
0,1,3,4,12.89016792,Sandstone,FALSE
0,1,3,6,11.77992802,Sandstone,FALSE
0,1,3,7,12.94223929,Sandstone,FALSE
0,1,3,9,11.15745806,Sandstone,FALSE
0,1,3,10,12.99204174,Sandstone,FALSE
0,1,3,12,10.22127377,Sandstone,FALSE
0,1,3,13,7.068252339,Greywacke,FALSE
0,1,3,16,8.531646727,Greywacke,FALSE
0,1,3,17,13.10307967,Sandstone,FALSE
0,1,3,19,11.22723472,Sandstone,FALSE
0,1,3,20,7.378068101,Greywacke,FALSE
0,1,3,22,7.574732013,Greywacke,FALSE
0,1,3,23,12.96503215,Sandstone,FALSE
0,1,3,25,9.211083184,Greywacke,FALSE
0,1,3,26,8.122941704,Greywacke,FALSE
0,1,3,29,8.319961093,Greywacke,FALSE
0,1,3,30,9.520643735,Greywacke,FALSE
0,1,3,32,9.035337851,Greywacke,FALSE
0,1,3,33,10.09241231,Sandstone,FALSE
0,1,3,35,6.282902694,Greywacke,FALSE
0,1,3,36,8.955875828,Greywacke,FALSE
0,1,3,38,10.63294267,Sandstone,FALSE
0,1,3,39,9.140506323,Greywacke,FALSE
0,1,3,42,12.14877621,Sandstone,FALSE
0,1,3,43,9.299067144,Greywacke,FALSE
0,1,3,45,8.996708297,Greywacke,FALSE
0,1,3,46,8.511538445,Greywacke,FALSE
0,1,3,48,6.712979387,Greywacke,FALSE
0,1,3,49,9.499838894,Greywacke,FALSE
0,1,3,51,7.420209412,Greywacke,FALSE
0,1,3,52,8.113206912,Greywacke,FALSE
0,1,3,55,9.508569056,Greywacke,FALSE
0,1,3,56,13.03621817,Sandstone,FALSE
0,1,3,58,8.781195132,Greywacke,FALSE
0,1,3,59,11.79280457,Sandstone,FALSE
0,1,3,61,8.090859278,Greywacke,FALSE
0,1,3,62,11.21547111,Sandstone,FALSE
0,1,3,64,11.05687977,Sandstone,FALSE
0,1,3,65,12.72538089,Sandstone,FALSE
0,1,3,68,7.267142012,Greywacke,FALSE
0,1,3,69,8.548207605,Greywacke,FALSE
0,1,3,71,7.190032201,Greywacke,FALSE
0,1,3,72,7.703178109,Greywacke,FALSE
0,1,3,74,10.01182072,Sandstone,FALSE
0,1,3,75,13.15521246,Sandstone,FALSE
0,1,3,77,11.91871889,Sandstone,FALSE
0,1,3,78,11.75229884,Sandstone,FALSE
0,1,3,81,11.10130731,Sandstone,FALSE
0,1,3,82,8.528210648,Greywacke,FALSE
0,1,3,84,8.799768858,Greywacke,FALSE
0,1,3,85,13.45422922,Sandstone,FALSE
0,1,3,87,12.33726705,Sandstone,FALSE
0,1,3,88,8.709491974,Greywacke,FALSE
0,1,3,90,7.896529716,Greywacke,FALSE
0,1,3,91,8.675817097,Greywacke,FALSE
0,1,3,94,8.787205121,Greywacke,FALSE
0,1,3,95,9.287502272,Greywacke,FALSE
0,1,3,97,8.681155674,Greywacke,FALSE
0,1,3,98,9.210895339,Greywacke,FALSE
0,1,3,100,13.34288186,Sandstone,FALSE
0,1,3,101,12.52882877,Sandstone,FALSE
0,1,3,103,9.055978052,Greywacke,FALSE
0,1,3,104,11.38653122,Sandstone,FALSE
0,2,0,3,5.388783491,Greywacke,FALSE
0,2,0,4,5.972576748,Greywacke,FALSE
0,2,0,6,5.41194975,Greywacke,FALSE
0,2,0,7,7.459466399,Greywacke,FALSE
0,2,0,9,4.768286584,Basement,FALSE
0,2,0,10,6.05259085,Greywacke,FALSE
0,2,0,12,4.757403897,Basement,FALSE
0,2,0,13,6.815875062,Greywacke,FALSE
0,2,0,16,4.900964476,Basement,FALSE
0,2,0,17,7.535379558,Greywacke,FALSE
0,2,0,19,4.708001347,Basement,FALSE
0,2,0,20,4.383027708,Basement,FALSE
0,2,0,22,5.482760356,Greywacke,FALSE
0,2,0,23,7.462783043,Greywacke,FALSE
0,2,0,25,5.988435198,Greywacke,FALSE
0,2,0,26,5.360703734,Greywacke,FALSE
0,2,0,29,4.199199874,Basement,FALSE
0,2,0,30,7.583646776,Greywacke,FALSE
0,2,0,32,3.674789922,Basement,FALSE
0,2,0,33,4.692834699,Basement,FALSE
0,2,0,35,3.809272183,Basement,FALSE
0,2,0,36,3.660454714,Basement,FALSE
0,2,0,38,7.674083245,Greywacke,FALSE
0,2,0,39,6.548585619,Greywacke,FALSE
0,2,0,42,6.63588903,Greywacke,FALSE
0,2,0,43,6.131742793,Greywacke,FALSE
0,2,0,45,4.003406207,Basement,FALSE
0,2,0,46,3.339625301,Basement,FALSE
0,2,0,48,6.720791563,Greywacke,FALSE
0,2,0,49,5.977859946,Greywacke,FALSE
0,2,0,51,7.058437699,Greywacke,FALSE
0,2,0,52,5.770593451,Greywacke,FALSE
0,2,0,55,6.263572423,Greywacke,FALSE
0,2,0,56,4.769843658,Basement,FALSE
0,2,0,58,4.176447163,Basement,FALSE
0,2,0,59,5.102988066,Greywacke,FALSE
0,2,0,61,3.455426089,Basement,FALSE
0,2,0,62,7.694459178,Greywacke,FALSE
0,2,0,64,5.621437409,Greywacke,FALSE
0,2,0,65,4.337644557,Basement,FALSE
0,2,0,68,6.589078126,Greywacke,FALSE
0,2,0,69,6.978922728,Greywacke,FALSE
0,2,0,71,7.255912522,Greywacke,FALSE
0,2,0,72,6.949326414,Greywacke,FALSE
0,2,0,74,6.749973201,Greywacke,FALSE
