i,j,k,sidx,44fa148e-fbff-4cb0-81ec-1b3fd52a2476,0418a65e-ad83-4bf4-9413-6aa4007f984b,66814097-a0fc-4109-acfd-b2e57789921a
0,0,1,74,8.71717,Greywacke,False
0,0,1,75,10.462473,Sandstone,False
0,0,1,77,10.082991,Sandstone,False
0,0,1,78,6.2727175,Greywacke,False
0,0,1,81,5.0549784,Greywacke,False
0,0,1,82,5.553641,Greywacke,False
0,0,1,84,10.810024,Sandstone,False
0,0,1,85,10.160638,Sandstone,False
0,0,1,87,9.780651,Greywacke,False
0,0,1,88,7.3520722,Greywacke,False
0,0,1,90,7.280969,Greywacke,False
0,0,1,91,5.0261006,Greywacke,False
0,0,1,94,10.781798,Sandstone,False
0,0,1,95,6.6052446,Greywacke,False
0,0,1,97,6.173541,Greywacke,False
0,0,1,98,11.260105,Sandstone,False
0,0,1,100,11.465257,Sandstone,False
0,0,1,101,9.841546,Greywacke,False
0,0,1,103,10.135427,Sandstone,False
0,0,1,104,7.3601437,Greywacke,False
0,0,2,3,6.2699103,Greywacke,False
0,0,2,4,9.616159,Greywacke,False
0,0,2,6,9.763713,Greywacke,False
0,0,2,7,4.658396,Basement,False
0,0,2,9,9.754795,Greywacke,False
0,0,2,10,7.682039,Greywacke,False
0,0,2,12,7.6745005,Greywacke,False
0,0,2,13,8.803541,Greywacke,False
0,0,2,16,9.362272,Greywacke,False
0,0,2,17,8.698681,Greywacke,False
0,0,2,19,5.8217525,Greywacke,False
0,0,2,20,8.644445,Greywacke,False
0,0,2,22,7.8676248,Greywacke,False
0,0,2,23,9.225523,Greywacke,False
0,0,2,25,7.3812294,Greywacke,False
0,0,2,26,4.923383,Basement,False
0,0,2,29,8.517535,Greywacke,False
0,0,2,30,6.51549,Greywacke,False
0,0,2,32,6.7295413,Greywacke,False
0,0,2,33,4.723906,Basement,False
0,0,2,35,8.55588,Greywacke,False
0,0,2,36,5.154329,Greywacke,False
0,0,2,38,6.8476863,Greywacke,False
0,0,2,39,6.018151,Greywacke,False
0,0,2,42,7.3234677,Greywacke,False
0,0,2,43,4.5478992,Basement,False
0,0,2,45,8.236564,Greywacke,False
0,0,2,46,7.618788,Greywacke,False
0,0,2,48,7.320824,Greywacke,False
0,0,2,49,5.375196,Greywacke,False
0,0,2,51,7.957823,Greywacke,False
0,0,2,52,9.2046175,Greywacke,False
0,0,2,55,8.429086,Greywacke,False
0,0,2,56,5.072813,Greywacke,False
0,0,2,58,9.311343,Greywacke,False
0,0,2,59,4.408452,Basement,False
0,0,2,61,4.5655546,Basement,False
0,0,2,62,6.9504323,Greywacke,False
0,0,2,64,6.895035,Greywacke,False
0,0,2,65,7.1125903,Greywacke,False
0,0,2,68,7.3894567,Greywacke,False
0,0,2,69,8.656249,Greywacke,False
0,0,2,71,8.247956,Greywacke,False
0,0,2,72,5.9183564,Greywacke,False
0,0,2,74,8.558527,Greywacke,False
0,0,2,75,7.604227,Greywacke,False
0,0,2,77,10.022524,Sandstone,False
0,0,2,78,10.142263,Sandstone,False
0,0,2,81,6.6093802,Greywacke,False
0,0,2,82,7.4191775,Greywacke,False
0,0,2,84,7.6356196,Greywacke,False
0,0,2,85,4.734315,Basement,False
0,0,2,87,5.415406,Greywacke,False
0,0,2,88,8.131346,Greywacke,False
0,0,2,90,7.8779764,Greywacke,False
0,0,2,91,5.612675,Greywacke,False
0,0,2,94,9.30655,Greywacke,False
0,0,2,95,7.4655137,Greywacke,False
0,0,2,97,8.608985,Greywacke,False
0,0,2,98,4.9385977,Basement,False
0,0,2,100,9.361423,Greywacke,False
0,0,2,101,6.3453393,Greywacke,False
0,0,2,103,5.910752,Greywacke,False
0,0,2,104,5.3304605,Greywacke,False
0,0,3,3,20.057764,Quaternary,True
0,0,3,4,13.922529,Sandstone,False
0,0,3,6,22.571955,Quaternary,True
0,0,3,7,15.080598,Quartz,False
0,0,3,9,22.335985,Quaternary,True
0,0,3,10,18.46809,Quaternary,True
0,0,3,12,12.599138,Sandstone,False
0,0,3,13,19.18755,Quaternary,True
0,0,3,16,14.731722,Sandstone,False
0,0,3,17,15.047965,Quartz,False
0,0,3,19,22.892435,Quaternary,True
0,0,3,20,14.381685,Sandstone,False
0,0,3,22,21.000177,Quaternary,True
0,0,3,23,22.143164,Quaternary,True
0,0,3,25,22.312468,Quaternary,True
0,0,3,26,14.353768,Sandstone,False
0,0,3,29,21.265444,Quaternary,True
0,0,3,30,21.81828,Quaternary,True
0,0,3,32,16.745625,Quartz,True
0,0,3,33,21.938585,Quaternary,True
0,0,3,35,22.260363,Quaternary,True
0,0,3,36,11.187043,Sandstone,False
0,0,3,38,16.879982,Quartz,True
0,0,3,39,15.393587,Quartz,False
0,0,3,42,17.280176,Quartz,True
0,0,3,43,19.44169,Quaternary,True
0,0,3,45,10.343058,Sandstone,False
0,0,3,46,20.832495,Quaternary,True
0,0,3,48,11.892415,Sandstone,False
0,0,3,49,12.005615,Sandstone,False
0,0,3,51,15.865422,Quartz,False
0,0,3,52,12.356626,Sandstone,False
0,0,3,55,19.488222,Quaternary,True
0,0,3,56,9.884989,Greywacke,False
0,0,3,58,14.298481,Sandstone,False
0,0,3,59,13.845245,Sandstone,False
0,0,3,61,20.699219,Quaternary,True
0,0,3,62,13.933323,Sandstone,False
0,0,3,64,21.546467,Quaternary,True
0,0,3,65,15.163838,Quartz,False
0,0,3,68,21.889788,Quaternary,True
0,0,3,69,16.1722,Quartz,True
0,0,3,71,13.855805,Sandstone,False
0,0,3,72,22.244383,Quaternary,True
0,0,3,74,18.73289,Quaternary,True
0,0,3,75,18.24366,Quaternary,True
0,0,3,77,21.252111,Quaternary,True
0,0,3,78,16.458624,Quartz,True
0,0,3,81,16.743835,Quartz,True
0,0,3,82,18.975592,Quaternary,True
0,0,3,84,10.322986,Sandstone,False
0,0,3,85,10.815804,Sandstone,False
0,0,3,87,20.411043,Quaternary,True
0,0,3,88,11.95942,Sandstone,False
0,0,3,90,11.183101,Sandstone,False
0,0,3,91,16.599533,Quartz,True
0,0,3,94,21.909063,Quaternary,True
0,0,3,95,16.167137,Quartz,True
0,0,3,97,9.957469,Greywacke,False
0,0,3,98,17.97016,Quartz,True
0,0,3,100,15.400632,Quartz,False
0,0,3,101,14.153476,Sandstone,False
0,0,3,103,20.199316,Quaternary,True
0,0,3,104,11.348102,Sandstone,False
0,1,0,3,19.18027,Quaternary,True
0,1,0,4,16.895554,Quartz,True
0,1,0,6,16.113668,Quartz,True
0,1,0,7,10.005211,Sandstone,False
0,1,0,9,16.086863,Quartz,True
0,1,0,10,21.130922,Quaternary,True
0,1,0,12,13.5371,Sandstone,False
0,1,0,13,9.479605,Greywacke,False
0,1,0,16,15.261491,Quartz,False
0,1,0,17,16.78416,Quartz,True
0,1,0,19,10.816777,Sandstone,False
0,1,0,20,16.957575,Quartz,True
0,1,0,22,21.161562,Quaternary,True
0,1,0,23,14.570429,Sandstone,False
0,1,0,25,11.064467,Sandstone,False
0,1,0,26,9.858341,Greywacke,False
0,1,0,29,14.591801,Sandstone,False
0,1,0,30,14.875359,Sandstone,False
0,1,0,32,12.412954,Sandstone,False
0,1,0,33,9.791618,Greywacke,False
0,1,0,35,13.709045,Sandstone,False
0,1,0,36,16.091654,Quartz,True
0,1,0,38,14.35418,Sandstone,False
0,1,0,39,9.752765,Greywacke,False
0,1,0,42,21.131935,Quaternary,True
0,1,0,43,11.190747,Sandstone,False
0,1,0,45,11.966228,Sandstone,False
0,1,0,46,14.201165,Sandstone,False
0,1,0,48,14.301483,Sandstone,False
0,1,0,49,13.711495,Sandstone,False
0,1,0,51,11.554303,Sandstone,False
0,1,0,52,11.14813,Sandstone,False
0,1,0,55,14.1150465,Sandstone,False
0,1,0,56,10.439868,Sandstone,False
0,1,0,58,20.08497,Quaternary,True
0,1,0,59,18.095333,Quaternary,True
0,1,0,61,10.239373,Sandstone,False
0,1,0,62,20.93866,Quaternary,True
0,1,0,64,10.087614,Sandstone,False
0,1,0,65,20.848774,Quaternary,True
0,1,0,68,10.426831,Sandstone,False
0,1,0,69,13.177728,Sandstone,False
0,1,0,71,14.610915,Sandstone,False
0,1,0,72,12.026725,Sandstone,False
0,1,0,74,14.611775,Sandstone,False
0,1,0,75,15.974344,Quartz,False
0,1,0,77,14.949752,Sandstone,False
0,1,0,78,19.224192,Quaternary,True
0,1,0,81,14.71493,Sandstone,False
0,1,0,82,12.71059,Sandstone,False
0,1,0,84,20.893864,Quaternary,True
0,1,0,85,13.501826,Sandstone,False
0,1,0,87,10.712858,Sandstone,False
0,1,0,88,14.525924,Sandstone,False
0,1,0,90,11.777729,Sandstone,False
0,1,0,91,13.337386,Sandstone,False
0,1,0,94,11.852894,Sandstone,False
0,1,0,95,9.283286,Greywacke,False
0,1,0,97,19.924208,Quaternary,True
0,1,0,98,19.455906,Quaternary,True
0,1,0,100,19.641518,Quaternary,True
0,1,0,101,19.916075,Quaternary,True
0,1,0,103,18.573395,Quaternary,True
0,1,0,104,19.98918,Quaternary,True
0,1,1,3,3.619895,Basement,False
0,1,1,4,8.318336,Greywacke,False
0,1,1,6,7.0985003,Greywacke,False
0,1,1,7,3.589816,Basement,False
0,1,1,9,7.6570826,Greywacke,False
0,1,1,10,5.407348,Greywacke,False
0,1,1,12,5.8199286,Greywacke,False
0,1,1,13,4.1268373,Basement,False
0,1,1,16,7.42188,Greywacke,False
0,1,1,17,6.906886,Greywacke,False
0,1,1,19,7.2619724,Greywacke,False
0,1,1,20,4.9903846,Basement,False
0,1,1,22,4.4112515,Basement,False
0,1,1,23,6.3516183,Greywacke,False
0,1,1,25,6.3578157,Greywacke,False
0,1,1,26,5.724618,Greywacke,False
0,1,1,29,6.826495,Greywacke,False
0,1,1,30,5.6321726,Greywacke,False
0,1,1,32,4.7373743,Basement,False
0,1,1,33,5.0429935,Greywacke,False
0,1,1,35,8.069748,Greywacke,False
0,1,1,36,4.6101394,Basement,False
0,1,1,38,6.7686133,Greywacke,False
0,1,1,39,4.7279377,Basement,False
0,1,1,42,3.6945188,Basement,False
0,1,1,43,6.6759844,Greywacke,False
0,1,1,45,3.9104156,Basement,False
0,1,1,46,8.272132,Greywacke,False
0,1,1,48,5.964738,Greywacke,False
0,1,1,49,6.9758515,Greywacke,False
0,1,1,51,5.0093675,Greywacke,False
0,1,1,52,3.7692807,Basement,False
0,1,1,55,5.4892454,Greywacke,False
0,1,1,56,7.7594876,Greywacke,False
0,1,1,58,8.340603,Greywacke,False
0,1,1,59,7.9056816,Greywacke,False
0,1,1,61,6.826415,Greywacke,False
0,1,1,62,8.267427,Greywacke,False
0,1,1,64,8.345382,Greywacke,False
0,1,1,65,3.639922,Basement,False
0,1,1,68,5.735999,Greywacke,False
0,1,1,69,5.3533697,Greywacke,False
0,1,1,71,4.2621713,Basement,False
0,1,1,72,6.519502,Greywacke,False
0,1,1,74,6.492387,Greywacke,False
0,1,1,75,5.6359015,Greywacke,False
0,1,1,77,6.7497935,Greywacke,False
0,1,1,78,3.5801976,Basement,False
0,1,1,81,4.9316645,Basement,False
0,1,1,82,8.2252245,Greywacke,False
0,1,1,84,8.125648,Greywacke,False
0,1,1,85,7.775211,Greywacke,False
0,1,1,87,6.0202327,Greywacke,False
0,1,1,88,3.8032265,Basement,False
0,1,1,90,6.3900633,Greywacke,False
0,1,1,91,5.3424587,Greywacke,False
0,1,1,94,6.4002733,Greywacke,False
0,1,1,95,8.340095,Greywacke,False
0,1,1,97,4.844871,Basement,False
0,1,1,98,5.324508,Greywacke,False
0,1,1,100,5.232255,Greywacke,False
0,1,1,101,7.8134623,Greywacke,False
0,1,1,103,5.8886547,Greywacke,False
0,1,1,104,6.064723,Greywacke,False
0,1,2,3,7.1628957,Greywacke,False
0,1,2,4,5.7820506,Greywacke,False
0,1,2,6,6.101782,Greywacke,False
0,1,2,7,7.732384,Greywacke,False
0,1,2,9,7.774587,Greywacke,False
0,1,2,10,7.730105,Greywacke,False
0,1,2,12,8.641462,Greywacke,False
0,1,2,13,6.8730583,Greywacke,False
0,1,2,16,8.61662,Greywacke,False
0,1,2,17,4.266903,Basement,False
0,1,2,19,4.300626,Basement,False
0,1,2,20,6.6988006,Greywacke,False
0,1,2,22,8.108654,Greywacke,False
0,1,2,23,8.924921,Greywacke,False
0,1,2,25,4.9037523,Basement,False
0,1,2,26,8.526443,Greywacke,False
0,1,2,29,7.6303997,Greywacke,False
0,1,2,30,7.558044,Greywacke,False
0,1,2,32,5.9186854,Greywacke,False
0,1,2,33,4.1910787,Basement,False
0,1,2,35,8.098962,Greywacke,False
0,1,2,36,4.1639137,Basement,False
0,1,2,38,8.386087,Greywacke,False
0,1,2,39,5.3438864,Greywacke,False
0,1,2,42,5.239317,Greywacke,False
0,1,2,43,6.867215,Greywacke,False
0,1,2,45,8.047466,Greywacke,False
0,1,2,46,9.104339,Greywacke,False
0,1,2,48,4.537352,Basement,False
0,1,2,49,6.207057,Greywacke,False
0,1,2,51,7.912321,Greywacke,False
0,1,2,52,5.4992986,Greywacke,False
0,1,2,55,4.069735,Basement,False
0,1,2,56,8.118122,Greywacke,False
0,1,2,58,5.4861608,Greywacke,False
0,1,2,59,4.8660865,Basement,False
0,1,2,61,4.774498,Basement,False
0,1,2,62,4.833923,Basement,False
0,1,2,64,8.424092,Greywacke,False
0,1,2,65,7.18715,Greywacke,False
0,1,2,68,8.169767,Greywacke,False
0,1,2,69,7.104111,Greywacke,False
0,1,2,71,5.4142747,Greywacke,False
0,1,2,72,8.54532,Greywacke,False
0,1,2,74,6.3355336,Greywacke,False
0,1,2,75,8.379108,Greywacke,False
0,1,2,77,8.239423,Greywacke,False
0,1,2,78,7.1546683,Greywacke,False
0,1,2,81,5.7622128,Greywacke,False
0,1,2,82,5.890213,Greywacke,False
0,1,2,84,8.845219,Greywacke,False
0,1,2,85,5.031133,Greywacke,False
0,1,2,87,4.1805105,Basement,False
0,1,2,88,7.8513412,Greywacke,False
0,1,2,90,6.57368,Greywacke,False
0,1,2,91,5.5292573,Greywacke,False
0,1,2,94,8.772425,Greywacke,False
0,1,2,95,4.089255,Basement,False
0,1,2,97,7.268105,Greywacke,False
0,1,2,98,7.959109,Greywacke,False
0,1,2,100,4.0183554,Basement,False
0,1,2,101,6.285934,Greywacke,False
0,1,2,103,4.2235246,Basement,False
0,1,2,104,9.099858,Greywacke,False
0,1,3,3,13.665488,Sandstone,False
0,1,3,4,12.890168,Sandstone,False
0,1,3,6,11.779928,Sandstone,False
0,1,3,7,12.94224,Sandstone,False
0,1,3,9,11.157458,Sandstone,False
0,1,3,10,12.992042,Sandstone,False
0,1,3,12,10.221273,Sandstone,False
0,1,3,13,7.0682526,Greywacke,False
0,1,3,16,8.531647,Greywacke,False
0,1,3,17,13.10308,Sandstone,False
0,1,3,19,11.227235,Sandstone,False
0,1,3,20,7.378068,Greywacke,False
0,1,3,22,7.574732,Greywacke,False
0,1,3,23,12.965033,Sandstone,False
0,1,3,25,9.211083,Greywacke,False
0,1,3,26,8.122942,Greywacke,False
0,1,3,29,8.319962,Greywacke,False
0,1,3,30,9.520644,Greywacke,False
0,1,3,32,9.035337,Greywacke,False
0,1,3,33,10.092412,Sandstone,False
0,1,3,35,6.2829027,Greywacke,False
0,1,3,36,8.955875,Greywacke,False
0,1,3,38,10.632942,Sandstone,False
0,1,3,39,9.140507,Greywacke,False
0,1,3,42,12.148776,Sandstone,False
0,1,3,43,9.2990675,Greywacke,False
0,1,3,45,8.996708,Greywacke,False
0,1,3,46,8.5115385,Greywacke,False
0,1,3,48,6.7129793,Greywacke,False
0,1,3,49,9.499839,Greywacke,False
0,1,3,51,7.4202094,Greywacke,False
0,1,3,52,8.113207,Greywacke,False
0,1,3,55,9.508569,Greywacke,False
0,1,3,56,13.036219,Sandstone,False
0,1,3,58,8.781195,Greywacke,False
0,1,3,59,11.792805,Sandstone,False
0,1,3,61,8.090859,Greywacke,False
0,1,3,62,11.215471,Sandstone,False
0,1,3,64,11.05688,Sandstone,False
0,1,3,65,12.725381,Sandstone,False
0,1,3,68,7.267142,Greywacke,False
0,1,3,69,8.548207,Greywacke,False
0,1,3,71,7.190032,Greywacke,False
0,1,3,72,7.703178,Greywacke,False
0,1,3,74,10.011821,Sandstone,False
0,1,3,75,13.155212,Sandstone,False
0,1,3,77,11.918719,Sandstone,False
0,1,3,78,11.752299,Sandstone,False
0,1,3,81,11.101307,Sandstone,False
0,1,3,82,8.528211,Greywacke,False
0,1,3,84,8.799768,Greywacke,False
0,1,3,85,13.454229,Sandstone,False
0,1,3,87,12.337267,Sandstone,False
0,1,3,88,8.709492,Greywacke,False
0,1,3,90,7.8965297,Greywacke,False
0,1,3,91,8.6758175,Greywacke,False
0,1,3,94,8.787205,Greywacke,False
0,1,3,95,9.287502,Greywacke,False
0,1,3,97,8.681155,Greywacke,False
0,1,3,98,9.210896,Greywacke,False
0,1,3,100,13.342882,Sandstone,False
0,1,3,101,12.528829,Sandstone,False
0,1,3,103,9.055978,Greywacke,False
0,1,3,104,11.386531,Sandstone,False
0,2,0,3,5.3887835,Greywacke,False
0,2,0,4,5.9725766,Greywacke,False
0,2,0,6,5.4119496,Greywacke,False
0,2,0,7,7.4594665,Greywacke,False
0,2,0,9,4.7682867,Basement,False
0,2,0,10,6.052591,Greywacke,False
0,2,0,12,4.757404,Basement,False
0,2,0,13,6.815875,Greywacke,False
0,2,0,16,4.9009643,Basement,False
0,2,0,17,7.5353794,Greywacke,False
0,2,0,19,4.708001,Basement,False
0,2,0,20,4.3830276,Basement,False
0,2,0,22,5.4827604,Greywacke,False
0,2,0,23,7.462783,Greywacke,False
0,2,0,25,5.9884353,Greywacke,False
0,2,0,26,5.360704,Greywacke,False
0,2,0,29,4.1991997,Basement,False
0,2,0,30,7.583647,Greywacke,False
0,2,0,32,3.67479,Basement,False
0,2,0,33,4.692835,Basement,False
0,2,0,35,3.8092723,Basement,False
0,2,0,36,3.6604548,Basement,False
0,2,0,38,7.674083,Greywacke,False
0,2,0,39,6.5485854,Greywacke,False
0,2,0,42,6.635889,Greywacke,False
0,2,0,43,6.131743,Greywacke,False
0,2,0,45,4.003406,Basement,False
0,2,0,46,3.3396254,Basement,False
0,2,0,48,6.7207913,Greywacke,False
0,2,0,49,5.97786,Greywacke,False
0,2,0,51,7.058438,Greywacke,False
0,2,0,52,5.7705936,Greywacke,False
0,2,0,55,6.263572,Greywacke,False
0,2,0,56,4.7698436,Basement,False
0,2,0,58,4.1764474,Basement,False
0,2,0,59,5.1029882,Greywacke,False
0,2,0,61,3.455426,Basement,False
0,2,0,62,7.694459,Greywacke,False
0,2,0,64,5.6214375,Greywacke,False
0,2,0,65,4.3376446,Basement,False
0,2,0,68,6.589078,Greywacke,False
0,2,0,69,6.978923,Greywacke,False
0,2,0,71,7.2559123,Greywacke,False
0,2,0,72,6.9493265,Greywacke,False
0,2,0,74,6.7499733,Greywacke,False
0,2,0,75,6.534861,Greywacke,False
0,2,0,77,5.813468,Greywacke,False
0,2,0,78,5.50509,Greywacke,False
0,2,0,81,6.194342,Greywacke,False
0,2,0,82,6.8259153,Greywacke,False
0,2,0,84,4.064505,Basement,False
0,2,0,85,4.6475716,Basement,False
0,2,0,87,4.250556,Basement,False
0,2,0,88,4.9413786,Basement,False
0,2,0,90,3.9463098,Basement,False
0,2,0,91,5.111785,Greywacke,False
0,2,0,94,6.5127954,Greywacke,False
0,2,0,95,5.8202233,Greywacke,False
0,2,0,97,4.0626245,Basement,False
0,2,0,98,5.345355,Greywacke,False
0,2,0,100,3.4347568,Basement,False
0,2,0,101,7.456274,Greywacke,False
0,2,0,103,7.465371,Greywacke,False
0,2,0,104,5.681368,Greywacke,False
0,2,1,3,9.442952,Greywacke,False
0,2,1,4,9.514933,Greywacke,False
0,2,1,6,9.755897,Greywacke,False
0,2,1,7,7.0638285,Greywacke,False
0,2,1,9,11.27253,Sandstone,False
0,2,1,10,7.434135,Greywacke,False
0,2,1,12,6.104583,Greywacke,False
0,2,1,13,5.6859536,Greywacke,False
0,2,1,16,10.321659,Sandstone,False
0,2,1,17,5.51865,Greywacke,False
0,2,1,19,7.039186,Greywacke,False
0,2,1,20,8.033797,Greywacke,False
0,2,1,22,5.465825,Greywacke,False
0,2,1,23,7.702723,Greywacke,False
0,2,1,25,8.028964,Greywacke,False
0,2,1,26,8.683209,Greywacke,False
0,2,1,29,7.886668,Greywacke,False
0,2,1,30,7.7560964,Greywacke,False
0,2,1,32,7.6956058,Greywacke,False
0,2,1,33,8.833417,Greywacke,False
0,2,1,35,9.7560425,Greywacke,False
0,2,1,36,11.568103,Sandstone,False
0,2,1,38,5.9974847,Greywacke,False
0,2,1,39,6.5595593,Greywacke,False
0,2,1,42,5.400895,Greywacke,False
0,2,1,43,10.530964,Sandstone,False
0,2,1,45,9.113626,Greywacke,False
0,2,1,46,6.611831,Greywacke,False
0,2,1,48,9.433964,Greywacke,False
0,2,1,49,10.789804,Sandstone,False
0,2,1,51,4.9746914,Basement,False
0,2,1,52,7.46026,Greywacke,False
0,2,1,55,9.223387,Greywacke,False
0,2,1,56,11.21627,Sandstone,False
0,2,1,58,8.593706,Greywacke,False
0,2,1,59,7.4757485,Greywacke,False
0,2,1,61,10.35639,Sandstone,False
0,2,1,62,9.127998,Greywacke,False
0,2,1,64,11.10444,Sandstone,False
0,2,1,65,5.962988,Greywacke,False
0,2,1,68,11.240162,Sandstone,False
0,2,1,69,8.605086,Greywacke,False
0,2,1,71,7.9404435,Greywacke,False
0,2,1,72,7.6006927,Greywacke,False
0,2,1,74,10.239022,Sandstone,False
0,2,1,75,6.746136,Greywacke,False
0,2,1,77,9.36825,Greywacke,False
0,2,1,78,9.496008,Greywacke,False
0,2,1,81,10.482314,Sandstone,False
0,2,1,82,9.9246235,Greywacke,False
0,2,1,84,5.5754924,Greywacke,False
0,2,1,85,6.597021,Greywacke,False
0,2,1,87,8.868427,Greywacke,False
0,2,1,88,5.3293705,Greywacke,False
0,2,1,90,11.570375,Sandstone,False
0,2,1,91,11.347525,Sandstone,False
0,2,1,94,8.5464325,Greywacke,False
0,2,1,95,9.764578,Greywacke,False
0,2,1,97,7.813414,Greywacke,False
0,2,1,98,11.304704,Sandstone,False
0,2,1,100,5.2104506,Greywacke,False
0,2,1,101,11.242955,Sandstone,False
0,2,1,103,6.131039,Greywacke,False
0,2,1,104,5.8843536,Greywacke,False
0,2,2,3,9.453399,Greywacke,False
0,2,2,4,9.684717,Greywacke,False
0,2,2,6,8.307565,Greywacke,False
0,2,2,7,9.066492,Greywacke,False
0,2,2,9,8.812368,Greywacke,False
0,2,2,10,9.285215,Greywacke,False
0,2,2,12,8.744133,Greywacke,False
0,2,2,13,9.317987,Greywacke,False
0,2,2,16,6.2908945,Greywacke,False
0,2,2,17,5.7375646,Greywacke,False
0,2,2,19,5.300475,Greywacke,False
0,2,2,20,9.891597,Greywacke,False
0,2,2,22,7.271131,Greywacke,False
0,2,2,23,7.3127356,Greywacke,False
0,2,2,25,6.6822877,Greywacke,False
0,2,2,26,8.001142,Greywacke,False
